Club,Country,Level,Elo,From,To
Wolfsburg,GER,1,1731.07165527,2022-11-13,2022-12-31
Gladbach,GER,1,1730.11279297,2022-11-13,2022-12-31
Salzburg,AUT,1,1728.85473633,2022-11-14,2022-12-31
Bilbao,ESP,1,1728.43762207,2022-11-14,2022-12-31
Feyenoord,NED,1,1725.89575195,2022-11-14,2022-12-31
Lazio,ITA,1,1724.82263184,2022-11-14,2022-12-31
Lens,FRA,1,1721.71765137,2022-11-14,2022-12-31
Sevilla,ESP,1,1716.08569336,2022-11-14,2022-12-31
Monaco,FRA,1,1715.02648926,2022-11-14,2022-12-31
Leeds,ENG,1,1711.24353027,2022-11-13,2022-12-28
Zenit,RUS,1,1704.66381836,2022-11-13,2022-12-31
Lille,FRA,1,1701.01989746,2022-11-14,2022-12-31
Lyon,FRA,1,1698.20385742,2022-11-13,2022-12-31
Everton,ENG,1,1697.95556641,2022-11-13,2022-12-26
Valencia,ESP,1,1690.32946777,2022-11-13,2022-12-31
Burnley,ENG,2,1685.99694824,2022-11-14,2022-12-31
Mainz,GER,1,1685.95056152,2022-11-14,2022-12-31
Hoffenheim,GER,1,1683.04455566,2022-11-13,2022-12-31
Wolves,ENG,1,1681.61743164,2022-11-13,2022-12-26
Fulham,ENG,1,1679.50585938,2022-11-14,2022-12-26
Braga,POR,1,1673.3293457,2022-11-14,2022-12-31
Fenerbahce,TUR,1,1673.16235352,2022-11-13,2022-12-31
Southampton,ENG,1,1672.72338867,2022-11-13,2022-12-26
Udinese,ITA,1,1669.04150391,2022-11-13,2022-12-31
Brugge,BEL,1,1668.69128418,2022-11-14,2022-12-31
Osasuna,ESP,1,1667.94335938,2022-11-10,2022-12-31
Bournemouth,ENG,1,1660.49121094,2022-11-13,2022-12-27
Dinamo Zagreb,CRO,1,1659.81555176,2022-11-14,2022-12-31
Alkmaar,NED,1,1654.41772461,2022-11-14,2022-12-31
Koeln,GER,1,1650.90063477,2022-11-14,2022-12-31
Fiorentina,ITA,1,1648.04089355,2022-11-14,2022-12-31
Werder,GER,1,1647.37805176,2022-11-14,2022-12-31
Nice,FRA,1,1646.58874512,2022-11-14,2022-12-31
Shakhtar,UKR,1,1645.78637695,2022-11-14,2022-12-31
Young Boys,SUI,1,1645.45581055,2022-11-14,2022-12-31
Rayo Vallecano,ESP,1,1637.48535156,2022-11-13,2022-12-31
Torino,ITA,1,1637.14306641,2022-11-14,2022-12-31
Celta,ESP,1,1634.44628906,2022-11-14,2022-12-31
Mallorca,ESP,1,1633.54931641,2022-11-14,2022-12-31
Getafe,ESP,1,1631.80200195,2022-11-13,2022-12-31
Crvena Zvezda,SRB,1,1631.14526367,2022-11-14,2022-12-31
Forest,ENG,1,1629.86413574,2022-11-13,2022-12-27
Stuttgart,GER,1,1627.90161133,2022-11-13,2022-12-31
Genk,BEL,1,1627.18237305,2022-11-14,2022-12-31
Rangers,SCO,1,1625.828125,2022-11-14,2022-12-31
Hertha,GER,1,1625.79528809,2022-11-14,2022-12-31
Sassuolo,ITA,1,1624.9777832,2022-11-14,2022-12-31
Valladolid,ESP,1,1621.99865723,2022-11-14,2022-12-31
Sheffield United,ENG,2,1619.70861816,2022-11-14,2022-12-31
Augsburg,GER,1,1619.05249023,2022-11-14,2022-12-31
Celtic,SCO,1,1618.80773926,2022-11-14,2022-12-31
Levante,ESP,2,1616.8248291,2022-11-13,2022-11-20
St Gillis,BEL,1,1615.46630859,2022-11-14,2022-12-31
Almeria,ESP,1,1610.98693848,2022-11-14,2022-12-31
Espanyol,ESP,1,1610.62268066,2022-11-10,2022-12-31
Bochum,GER,1,1609.13598633,2022-11-13,2022-12-31
Bologna,ITA,1,1607.8717041,2022-11-13,2022-12-31
FC Kobenhavn,DEN,1,1602.1361084,2022-11-14,2022-12-31
Twente,NED,1,1601.90039062,2022-11-14,2022-12-31
Girona,ESP,1,1600.56359863,2022-11-13,2022-12-31
Cadiz,ESP,1,1600.01342773,2022-11-13,2022-12-31
Slavia Praha,CZE,1,1598.63525391,2022-11-14,2022-12-31
Maccabi Haifa,ISR,1,1598.05895996,2022-11-14,2022-12-31
Trabzonspor,TUR,1,1597.89160156,2022-11-12,2022-12-31
Strasbourg,FRA,1,1595.52453613,2022-11-14,2022-12-31
Viktoria Plzen,CZE,1,1594.8762207,2022-11-14,2022-12-31
Molde,NOR,1,1594.64648438,2022-11-14,2022-12-31
Darmstadt,GER,2,1594.59472656,2022-11-14,2022-12-31
Reims,FRA,1,1593.53771973,2022-11-14,2022-12-31
Hamburg,GER,2,1592.23059082,2022-11-13,2022-12-31
Nantes,FRA,1,1592.06933594,2022-11-14,2022-12-31
Lorient,FRA,1,1585.44506836,2022-11-14,2022-12-31
Granada,ESP,2,1583.92297363,2022-11-07,2022-11-18
Galatasaray,TUR,1,1581.3260498,2022-11-13,2022-12-31
Midtjylland,DEN,1,1580.79614258,2022-11-14,2022-12-31
Watford,ENG,2,1579.64367676,2022-11-13,2022-12-31
Eibar,ESP,2,1578.95080566,2022-11-07,2022-11-20
Alaves,ESP,2,1576.92895508,2022-11-05,2022-11-20
Karabakh Agdam,AZE,0,1570.39440918,2022-11-04,2022-12-31
Spartak Moskva,RUS,1,1569.66870117,2022-11-13,2022-12-31
Norwich,ENG,2,1569.09387207,2022-11-13,2022-12-31
M Tel Aviv,ISR,1,1566.89782715,2022-11-13,2022-12-31
Sturm Graz,AUT,1,1566.86450195,2022-11-14,2022-12-31
Gent,BEL,1,1563.89526367,2022-11-14,2022-12-31
Bodoe Glimt,NOR,1,1563.87878418,2022-11-14,2022-12-31
Bueyueksehir,TUR,1,1563.34680176,2022-11-13,2022-12-31
Schalke,GER,1,1562.55065918,2022-11-13,2022-12-31
Empoli,ITA,1,1559.00720215,2022-11-12,2022-12-31
Toulouse,FRA,1,1554.1796875,2022-11-13,2022-12-31
Millwall,ENG,2,1553.24072266,2022-11-13,2022-12-31
Beer-Sheva,ISR,1,1552.15759277,2022-11-14,2022-12-31
Heidenheim,GER,2,1550.88305664,2022-11-13,2022-12-31
Las Palmas,ESP,2,1550.40942383,2022-11-07,2022-11-20
Rakow,POL,1,1549.88916016,2022-11-13,2022-12-31
Verona,ITA,1,1549.69714355,2022-11-14,2022-12-31
Dynamo Kyiv,UKR,1,1549.57836914,2022-11-18,2022-12-31
Elche,ESP,1,1548.71704102,2022-11-09,2022-12-31
Partizan,SRB,1,1548.66467285,2022-11-14,2022-12-31
Guimaraes,POR,1,1547.34753418,2022-11-14,2022-12-31
Lecce,ITA,1,1544.87158203,2022-11-13,2022-12-31
Utrecht,NED,1,1543.93566895,2022-11-13,2022-12-31
Monza,ITA,1,1543.80004883,2022-11-14,2022-12-31
Antwerp,BEL,1,1543.74047852,2022-11-14,2022-12-31
Montpellier,FRA,1,1542.28845215,2022-11-14,2022-12-31
Anderlecht,BEL,1,1539.14453125,2022-11-14,2022-12-31
Ferencvaros,HUN,1,1538.12060547,2022-11-14,2022-12-31
Hajduk,CRO,1,1538.00817871,2022-11-13,2022-12-31
Dynamo Moskva,RUS,1,1537.69592285,2022-11-14,2022-12-31
Troyes,FRA,1,1537.30822754,2022-11-14,2022-12-31
Besiktas,TUR,1,1536.54602051,2022-11-06,2022-12-31
Luton,ENG,2,1534.46704102,2022-11-13,2022-12-31
Blackburn,ENG,2,1534.18212891,2022-11-14,2022-12-31
Coventry,ENG,2,1533.00280762,2022-11-13,2022-12-31
Genoa,ITA,2,1530.93908691,2022-11-14,2022-12-31
Brest,FRA,1,1530.9095459,2022-11-14,2022-12-31
Djurgarden,SWE,1,1530.81188965,2022-11-07,2022-12-31
Clermont,FRA,1,1530.1829834,2022-11-13,2022-12-31
Huesca,ESP,2,1528.45935059,2022-11-06,2022-11-19
Middlesbrough,ENG,2,1528.30432129,2022-11-13,2022-12-31
Duesseldorf,GER,2,1526.24145508,2022-11-12,2022-12-31
Cartagena,ESP,2,1525.63171387,2022-11-08,2022-11-21
CSKA Moskva,RUS,1,1525.13635254,2022-11-14,2022-12-31
Sparta Praha,CZE,1,1524.2199707,2022-11-13,2022-12-31
Swansea,ENG,2,1522.59069824,2022-11-13,2022-12-31
Konyaspor,TUR,1,1522.09472656,2022-11-14,2022-12-31
Burgos,ESP,2,1521.26330566,2022-11-06,2022-11-20
Razgrad,BUL,1,1521.25097656,2022-11-14,2022-12-31
West Brom,ENG,2,1521.00756836,2022-11-13,2022-12-31
Lech,POL,1,1520.73266602,2022-11-13,2022-12-31
Paderborn,GER,2,1520.48095703,2022-11-14,2022-12-31
Bielefeld,GER,2,1520.33300781,2022-11-14,2022-12-31
Sparta Rotterdam,NED,1,1519.00463867,2022-11-12,2022-12-31
Rostov,RUS,1,1518.18981934,2022-11-13,2022-12-31
Salernitana,ITA,1,1517.58984375,2022-11-14,2022-12-31
Olympiakos,GRE,1,1517.26965332,2022-11-14,2022-12-31
Spezia,ITA,1,1516.64404297,2022-11-14,2022-12-31
Leganes,ESP,2,1515.99304199,2022-11-06,2022-11-19
Preston,ENG,2,1515.78540039,2022-11-13,2022-12-31
Sochi,RUS,1,1512.9128418,2022-11-14,2022-12-31
Holstein,GER,2,1511.85046387,2022-11-12,2022-12-31
Oviedo,ESP,2,1508.95251465,2022-11-07,2022-11-19
Heerenveen,NED,1,1507.88806152,2022-11-14,2022-12-31
Basel,SUI,1,1506.72595215,2022-11-13,2022-12-31
StGallen,SUI,1,1505.2598877,2022-11-13,2022-12-31
Sampdoria,ITA,1,1505.10253906,2022-11-13,2022-12-31
Bordeaux,FRA,2,1504.5970459,2022-11-13,2022-12-31
Hannover,GER,2,1504.58813477,2022-11-12,2022-12-31
QPR,ENG,2,1504.55871582,2022-11-13,2022-12-31
Tenerife,ESP,2,1504.21569824,2022-11-06,2022-11-19
Nordsjaelland,DEN,1,1503.59912109,2022-11-14,2022-12-31
Huddersfield,ENG,2,1502.57434082,2022-11-13,2022-12-31
Adana Demirspor,TUR,1,1502.03686523,2022-11-12,2022-12-31
Auxerre,FRA,1,1501.69702148,2022-11-14,2022-12-31
Fuerth,GER,2,1501.22229004,2022-11-14,2022-12-31
Panathinaikos,GRE,1,1498.49169922,2022-11-14,2022-12-31
Frosinone,ITA,2,1496.46850586,2022-11-12,2022-12-31
Santa Clara,POR,1,1493.54858398,2022-11-15,2022-12-31
Stoke,ENG,2,1493.38867188,2022-11-13,2022-12-31
Ajaccio,FRA,1,1492.70007324,2022-11-14,2022-12-31
FC Krasnodar,RUS,1,1491.81506348,2022-11-14,2022-12-31
Sheriff Tiraspol,MOL,0,1491.13110352,2022-11-04,2022-12-31
Cagliari,ITA,2,1490.27038574,2022-11-13,2022-12-31
Angers,FRA,1,1490.19384766,2022-11-14,2022-12-31
Rapid Wien,AUT,1,1490.13684082,2022-11-13,2022-12-31
Sochaux,FRA,2,1488.57067871,2022-11-13,2022-12-31
St Pauli,GER,2,1487.77307129,2022-11-13,2022-12-31
Hammarby,SWE,1,1486.83093262,2022-11-07,2022-12-31
LASK,AUT,1,1484.55908203,2022-11-14,2022-12-31
Osijek,CRO,1,1483.88745117,2022-11-14,2022-12-31
Dnipro,UKR,1,1483.71655273,2022-11-14,2022-12-31
CFR Cluj,ROM,1,1483.7019043,2022-11-14,2022-12-31
Rosenborg,NOR,1,1483.09997559,2022-11-14,2022-12-31
Gijon,ESP,2,1482.05187988,2022-11-07,2022-11-19
Brondby,DEN,1,1482.0222168,2022-11-14,2022-12-31
Metz,FRA,2,1480.515625,2022-11-13,2022-12-31
Viborg,DEN,1,1479.86157227,2022-11-14,2022-12-31
Antalyaspor,TUR,1,1479.01806641,2022-11-07,2022-12-31
Haecken,SWE,1,1477.97338867,2022-11-07,2022-12-31
Alanyaspor,TUR,1,1477.80981445,2022-11-12,2022-12-31
Famalicao,POR,1,1475.88110352,2022-11-14,2022-12-31
Sunderland,ENG,2,1475.39770508,2022-11-12,2022-12-31
Vitesse,NED,1,1473.3996582,2022-11-14,2022-12-31
Cremonese,ITA,1,1473.32385254,2022-11-12,2022-12-31
Portimonense,POR,1,1473.10144043,2022-11-14,2022-12-31
Birmingham,ENG,2,1472.3984375,2022-11-12,2022-12-31
Brescia,ITA,2,1472.2947998,2022-11-13,2022-12-31
Zorya,UKR,1,1471.31921387,2022-11-14,2022-11-18
Gil Vicente,POR,1,1470.51806641,2022-11-14,2022-12-31
Chaves,POR,1,1468.77648926,2022-11-14,2022-12-31
Boavista,POR,1,1468.6574707,2022-11-13,2022-12-31
Zaragoza,ESP,2,1468.50402832,2022-11-05,2022-11-19
Le Havre,FRA,2,1467.48461914,2022-11-13,2022-12-31
Casa Pia,POR,1,1467.13476562,2022-11-14,2022-12-31
St Truiden,BEL,1,1465.45410156,2022-11-13,2022-12-31
Apollon Lemesos,CYP,0,1464.34362793,2022-11-04,2022-12-31
Bristol City,ENG,2,1463.53283691,2022-11-13,2022-12-31
Terek Grozny,RUS,1,1463.2689209,2022-11-12,2022-12-31
Lautern,GER,2,1463.26208496,2022-11-12,2022-12-31
Parma,ITA,2,1462.15576172,2022-11-13,2022-12-31
Benevento,ITA,2,1460.61206055,2022-11-13,2022-12-31
Cercle Brugge,BEL,1,1460.41369629,2022-11-13,2022-12-31
Rio Ave,POR,1,1460.06591797,2022-11-13,2022-12-31
Estoril,POR,1,1458.93847656,2022-11-15,2022-12-31
Cardiff,ENG,2,1458.04724121,2022-11-13,2022-12-31
PAOK,GRE,1,1457.67236328,2022-11-14,2022-12-31
Kasimpasa,TUR,1,1457.63769531,2022-11-05,2022-12-31
Ponferradina,ESP,2,1456.86694336,2022-11-06,2022-11-19
Lugano,SUI,1,1456.72045898,2022-11-14,2022-12-31
Larnaca,CYP,0,1456.16772461,2022-11-04,2022-12-31
Ascoli,ITA,2,1455.04980469,2022-11-12,2022-12-31
Zuerich,SUI,1,1454.73278809,2022-11-14,2022-12-31
Rotherham,ENG,2,1454.54870605,2022-11-13,2022-12-31
AEK,GRE,1,1454.12255859,2022-11-14,2022-12-31
Andorra CF,ESP,2,1453.91369629,2022-11-06,2022-11-20
Nuernberg,GER,2,1453.86987305,2022-11-14,2022-12-31
Waalwijk,NED,1,1453.68225098,2022-11-14,2022-12-31
Kayseri,TUR,1,1453.45727539,2022-11-14,2022-12-31
Sivasspor,TUR,1,1452.89038086,2022-11-13,2022-12-31
Reading,ENG,2,1452.70068359,2022-11-13,2022-12-31
Albacete,ESP,2,1452.32592773,2022-11-07,2022-11-18
Paris FC,FRA,2,1450.5637207,2022-11-13,2022-12-31
Mirandes,ESP,2,1450.52502441,2022-11-07,2022-11-21
Elfsborg,SWE,1,1450.18908691,2022-11-07,2022-12-31
Silkeborg,DEN,1,1449.35437012,2022-11-13,2022-12-31
Luzern,SUI,1,1448.84643555,2022-11-14,2022-12-31
Craiova,ROM,1,1445.94909668,2022-11-13,2022-12-31
Santander,ESP,2,1445.27441406,2022-11-06,2022-11-20
CSKA Sofia,BUL,1,1445.00061035,2022-11-13,2022-12-31
Pisa,ITA,2,1444.63562012,2022-11-13,2022-12-31
Karlsruhe,GER,2,1444.45397949,2022-11-13,2022-12-31
Servette,SUI,1,1444.3684082,2022-11-14,2022-12-31
Charleroi,BEL,1,1443.36315918,2022-11-13,2022-12-31
Austria Wien,AUT,1,1442.61962891,2022-11-14,2022-12-31
Blackpool,ENG,2,1442.35620117,2022-11-13,2022-12-31
Nijmegen,NED,1,1442.1529541,2022-11-14,2022-12-31
Villarreal B,ESP,2,1442.06799316,2022-11-06,2022-11-20
Fatih Karaguemruek,TUR,1,1440.91174316,2022-11-14,2022-12-31
Slovacko,CZE,1,1440.84570312,2022-11-14,2022-12-31
Arouca,POR,1,1439.859375,2022-11-13,2022-12-31
Rostock,GER,2,1438.61682129,2022-11-13,2022-12-31
Legia,POL,1,1438.59106445,2022-11-14,2022-12-31
Randers,DEN,1,1438.50488281,2022-11-14,2022-12-31
AIK,SWE,1,1437.07092285,2022-11-07,2022-12-31
Mechelen,BEL,1,1435.83642578,2022-11-13,2022-12-31
Lugo,ESP,2,1435.67358398,2022-11-08,2022-11-20
Sandhausen,GER,2,1435.1862793,2022-11-13,2022-12-31
Gaziantep FK,TUR,1,1434.84411621,2022-11-14,2022-12-31
Leuven,BEL,1,1434.79626465,2022-11-12,2022-12-31
Malmoe,SWE,1,1433.90820312,2022-11-07,2022-12-31
Pogon,POL,1,1433.75756836,2022-11-14,2022-12-31
Saint-Etienne,FRA,2,1433.25036621,2022-11-13,2022-12-31
Hull,ENG,2,1432.88256836,2022-11-13,2022-12-31
Wolfsberg,AUT,1,1431.69641113,2022-11-14,2022-12-31
Odense,DEN,1,1429.38098145,2022-11-14,2022-12-31
Groningen,NED,1,1428.79382324,2022-11-14,2022-12-31
Ternana,ITA,2,1428.24987793,2022-11-13,2022-12-31
Omonia,CYP,0,1427.93371582,2022-11-04,2022-12-31
Standard,BEL,1,1427.63391113,2022-11-14,2022-12-31
Vizela,POR,1,1427.20080566,2022-11-14,2022-12-31
Steaua,ROM,1,1426.63647461,2022-11-14,2022-12-31
Wattens,AUT,1,1425.96691895,2022-11-13,2022-12-31
Guingamp,FRA,2,1424.40063477,2022-11-13,2022-12-31
Kryliya Sovetov,RUS,1,1423.78503418,2022-11-13,2022-12-31
Reggina,ITA,2,1423.53552246,2022-11-13,2022-12-31
Maritimo,POR,1,1422.9876709,2022-11-14,2022-12-31
Lok Moskva,RUS,1,1422.66503906,2022-11-13,2022-12-31
Wigan,ENG,2,1420.81201172,2022-11-13,2022-12-31
Westerlo,BEL,1,1420.69714355,2022-11-13,2022-12-31
Ibiza Eivissa,ESP,2,1420.63049316,2022-11-07,2022-11-20
Grenoble,FRA,2,1420.04516602,2022-11-13,2022-12-31
Sittard,NED,1,1419.51342773,2022-11-14,2022-12-31
Regensburg,GER,2,1419.35705566,2022-11-13,2022-12-31
Hatayspor,TUR,1,1416.13293457,2022-11-14,2022-12-31
Go Ahead Eagles,NED,1,1415.96411133,2022-11-14,2022-12-31
Grasshoppers,SUI,1,1414.94165039,2022-11-13,2022-12-31
APOEL,CYP,0,1413.97412109,2022-11-04,2022-12-31
Cittadella,ITA,2,1413.61682129,2022-11-13,2022-12-31
Aarhus,DEN,1,1413.3079834,2022-11-14,2022-12-31
Sverdlovsk,RUS,1,1412.1217041,2022-11-13,2022-12-31
Sion,SUI,1,1409.73657227,2022-11-13,2022-12-31
Caen,FRA,2,1409.68493652,2022-11-13,2022-12-31
Kalmar,SWE,1,1408.70556641,2022-11-07,2022-12-31
Venezia,ITA,2,1408.3034668,2022-11-13,2022-12-31
Braunschweig,GER,2,1404.37182617,2022-11-13,2022-12-31
Spal,ITA,2,1403.35327148,2022-11-13,2022-12-31
Aris,GRE,1,1402.37548828,2022-11-14,2022-12-31
Klagenfurt,AUT,1,1402.04443359,2022-11-14,2022-12-31
Giresunspor,TUR,1,1399.11779785,2022-11-13,2022-12-31
Aalborg,DEN,1,1398.95471191,2022-11-14,2022-12-31
Bari,ITA,2,1398.59265137,2022-11-13,2022-12-31
Lillestrom,NOR,1,1396.04248047,2022-11-14,2022-12-31
Viitorul,ROM,1,1395.76159668,2022-11-13,2022-12-31
Sigma Olomouc,CZE,1,1395.48474121,2022-11-14,2022-12-31
Aris Limassol,CYP,0,1395.02099609,2022-11-04,2022-12-31
Malaga,ESP,2,1394.21313477,2022-11-07,2022-11-19
Banik Ostrava,CZE,1,1393.90478516,2022-11-13,2022-12-31
Valerenga,NOR,1,1392.26062012,2022-11-14,2022-12-31
Amiens,FRA,2,1391.60412598,2022-11-13,2022-12-31
Valenciennes,FRA,2,1390.26062012,2022-11-13,2022-12-31
Pau,FRA,2,1388.9197998,2022-11-13,2022-12-31
Orenburg,RUS,1,1383.65808105,2022-11-14,2022-12-31
Pacos Ferreira,POR,1,1382.85925293,2022-11-14,2022-12-31
Rijeka,CRO,1,1382.84094238,2022-11-14,2022-12-31
Mlada Boleslav,CZE,1,1382.10437012,2022-11-13,2022-12-31
Suedtirol,ITA,2,1381.79833984,2022-11-13,2022-12-31
Nizhny Novgorod,RUS,1,1380.8873291,2022-11-12,2022-12-31
Olexandriya,UKR,1,1379.81616211,2022-11-11,2022-11-18
Magdeburg,GER,2,1379.29785156,2022-11-14,2022-12-31
Cambuur,NED,1,1378.19555664,2022-11-14,2022-12-31
Nimes,FRA,2,1377.1673584,2022-11-13,2022-12-31
Mjaellby,SWE,1,1376.87792969,2022-11-07,2022-12-31
Ankaraguecue,TUR,1,1375.96948242,2022-11-12,2022-12-31
Excelsior,NED,1,1375.89074707,2022-11-14,2022-12-31
Dijon,FRA,2,1374.67578125,2022-11-13,2022-12-31
Goeteborg,SWE,1,1374.66931152,2022-11-07,2022-12-31
Cracovia,POL,1,1374.50463867,2022-11-12,2022-12-31
FK Astana,KAZ,0,1374.35620117,2022-08-12,2022-12-31
Bastia,FRA,2,1373.89135742,2022-11-13,2022-12-31
Slovan Bratislava,SLK,0,1373.45617676,2022-11-04,2022-12-31
Emmen,NED,1,1373.39050293,2022-11-13,2022-12-31
Warta,POL,1,1372.90930176,2022-11-12,2022-12-31
Netanya,ISR,1,1372.08215332,2022-11-13,2022-12-31
Piast Gliwice,POL,1,1371.17980957,2022-11-14,2022-12-31
Plock,POL,1,1369.87072754,2022-11-12,2022-12-31
Odd Grenland,NOR,1,1368.84667969,2022-11-14,2022-12-31
Oostende,BEL,1,1367.90454102,2022-11-13,2022-12-31
Sarpsborg,NOR,1,1367.54602051,2022-11-14,2022-12-31
Vaduz,LIE,0,1365.73974609,2022-11-04,2022-12-31
Horsens,DEN,1,1361.9810791,2022-11-14,2022-12-31
Perugia,ITA,2,1360.98364258,2022-11-13,2022-12-31
Viking,NOR,1,1360.64147949,2022-11-14,2022-12-31
Tromso,NOR,1,1360.30493164,2022-11-14,2022-12-31
Norrkoeping,SWE,1,1359.71813965,2022-11-07,2022-12-31
Como,ITA,2,1359.19226074,2022-11-14,2022-12-31
Sepsi,ROM,1,1356.96069336,2022-11-12,2022-12-31
Vorskla,UKR,1,1356.39355469,2022-11-14,2022-12-31
Rodez,FRA,2,1355.74621582,2022-11-13,2022-12-31
FC Khimki,RUS,1,1355.67102051,2022-11-14,2022-12-31
Olimpija Ljubljana,SVN,1,1354.58752441,2022-11-13,2022-12-31
Trnava,SLK,0,1354.45605469,2022-11-04,2022-12-31
Lustenau,AUT,1,1354.05249023,2022-11-13,2022-12-31
Levski,BUL,1,1353.57019043,2022-11-13,2022-12-31
Winterthur,SUI,1,1352.19018555,2022-11-14,2022-12-31
Lok Zagreb,CRO,1,1350.99316406,2022-11-13,2022-12-31
Dunajska,SLK,0,1350.38586426,2022-11-04,2022-12-31
Puskas Akademia,HUN,1,1350.0402832,2022-11-13,2022-12-31
Laval,FRA,2,1349.4921875,2022-11-13,2022-12-31
Palermo,ITA,2,1349.36804199,2022-11-13,2022-12-31
Modena,ITA,2,1347.81555176,2022-11-13,2022-12-31
Videoton,HUN,1,1347.59777832,2022-11-14,2022-12-31
Haugesund,NOR,1,1346.94116211,2022-11-14,2022-12-31
Kisvarda,HUN,1,1346.36425781,2022-11-14,2022-12-31
Umraniyespor,TUR,1,1345.9552002,2022-11-13,2022-12-31
Gornik,POL,1,1343.5880127,2022-11-13,2022-11-18
Kolos,UKR,1,1343.38476562,2022-11-14,2022-12-31
Slovan Liberec,CZE,1,1343.16064453,2022-11-13,2022-12-31
Kuopio,FIN,0,1341.35058594,2022-11-04,2022-12-31
US Quevilly,FRA,2,1341.06433105,2022-11-13,2022-12-31
Lechia,POL,1,1340.8572998,2022-11-14,2022-11-18
Ried,AUT,1,1339.76257324,2022-11-13,2022-12-31
Eupen,BEL,1,1339.37890625,2022-11-13,2022-12-31
Ruzomberok,SLK,0,1339.14941406,2022-11-04,2022-12-31
Cukaricki,SRB,1,1337.08251953,2022-11-14,2022-12-31
CSKA 1948 Sofia,BUL,1,1336.88696289,2022-11-14,2022-12-31
Hapoel Jerusalem,ISR,1,1335.21911621,2022-11-14,2022-12-31
Annecy,FRA,2,1335.00354004,2022-11-13,2022-12-31
H Tel Aviv,ISR,1,1334.95556641,2022-11-14,2022-12-31
Zulte Waregem,BEL,1,1333.1217041,2022-11-13,2022-12-31
Volendam,NED,1,1332.7532959,2022-11-13,2022-12-31
Bohemians Praha,CZE,1,1332.6138916,2022-11-13,2022-12-31
Istanbulspor,TUR,1,1332.49084473,2022-11-14,2022-12-31
Hapoel Eran Hadera,ISR,1,1332.48266602,2022-11-13,2022-12-31
Stal Mielec,POL,1,1332.13586426,2022-11-12,2022-12-31
Neftchi,AZE,0,1332.13061523,2022-11-04,2022-12-31
Rapid Bucuresti,ROM,1,1332.0144043,2022-11-13,2022-12-31
Kortrijk,BEL,1,1331.76965332,2022-11-14,2022-12-31
Kiryat Shmona,ISR,1,1329.72290039,2022-11-14,2022-12-31
Hartberg,AUT,1,1329.54711914,2022-11-13,2022-12-31
Altach,AUT,1,1329.50915527,2022-11-13,2022-12-31
Radomiak,POL,1,1329.00854492,2022-11-14,2022-12-31
Hearts,SCO,1,1325.52392578,2022-11-13,2022-12-31
Jablonec,CZE,1,1325.02514648,2022-11-13,2022-12-31
Slaven Belupo,CRO,1,1324.82739258,2022-11-13,2022-12-31
